"Distancía absoluta [m]
01/01/2020",Número de soldadura,SMYS [psi],Diámetro [mm],Espesor [mm],Elevación [m],Latitud[º] / Este,Longitud [º]/ Norte,Feature typev (don't incude blank),Inclinación - Pitch [grados] - desde Extraer GW - Interpolar,Azimuth - [Grados] - desde Extraer GW - Interpolar,Distancia de Registro [km],Presión de diseño [psi],Presió Interpolada [psi] (desde colmna K),PK [km],Perfil de presión operativa [psi],Distancia de registro perfil operativo [m]
496.492,580,60000,323.85,10.7,1457.796,1187196.779,835174.444,GW,,,4.96492,2855.0,1637.0,175.24884,977.367887490153,11524.61
508.731,590,60000,323.85,10.7,1457.975,1187205.971,835182.514,GW,,,5.0873099999999996,2855.0,1637.0,175.26105,977.471389300164,11536.82
520.992,600,60000,323.85,10.7,1458.233,1187215.083,835190.701,GW,,,5.209919999999999,2855.0,1637.0,175.38392000000002,991.8596501294433,11659.69
533.232,610,60000,323.85,10.7,1459.136,1187224.097,835198.927,GW,,,5.332319999999999,2855.0,1637.0,175.3945,991.942904408415,11670.27
545.452,620,60000,323.85,10.7,1460.383,1187233.068,835207.121,GW,,,5.45452,2855.0,1637.0,175.67315,1037.4501027429292,11948.92
557.712,630,60000,323.85,10.7,1461.191,1187242.091,835215.359,GW,,,5.57712,2855.0,1637.0,175.67523,1037.270493273445,11951.0
561.809,640,60000,323.85,10.7,1461.16,1187245.118,835218.117,GW,,,5.61809,2855.0,1637.0,175.94314,1063.2386375726396,12218.91
574.095,650,60000,323.85,10.7,1460.583,1187255.495,835224.419,GW,,,5.740950000000001,2855.0,1637.0,175.95418,1063.2325155326098,12229.95
586.332,660,60000,323.85,10.7,1459.899,1187267.248,835227.601,GW,,,5.86332,2855.0,1637.0,176.11058,1086.9394017551913,12386.35
598.57,670,60000,323.85,10.7,1459.305,1187279.333,835229.41,GW,,,5.9857000000000005,2855.0,1637.0,176.12281000000002,1085.2744263582458,12398.58
610.797,680,60000,323.85,10.7,1458.958,1187291.422,835231.175,GW,,,6.10797,2855.0,1637.0,176.23777,1067.3072861958508,12513.54
623.039,690,60000,323.85,10.7,1458.567,1187303.526,835232.929,GW,,,6.23039,2855.0,1637.0,176.24996000000002,1066.8277277708175,12525.73
635.278,700,60000,323.85,10.7,1458.137,1187315.641,835234.577,GW,,,6.35278,2855.0,1637.0,176.39522,1052.1934286652113,12670.99
641.407,710,60000,323.85,10.7,1457.818,1187321.705,835235.392,GW,,,6.414070000000001,2855.0,1637.0,176.40739,1051.910796238135,12683.16
643.401,720,60000,323.85,9.3,1457.723,1187323.677,835235.662,GW,,,6.43401,2482.0,1637.0,176.91121,1020.1830879720457,13186.98
654.296,730,60000,323.85,9.3,1457.369,1187334.457,835237.178,GW,,,6.542960000000001,2482.0,1637.0,176.92338,1019.5741455149696,13199.15
658.012,740,60000,323.85,9.3,1457.285,1187338.133,835237.696,GW,,,6.580119999999999,2482.0,1637.0,177.03213,1019.0990876885912,13307.9
666.61,750,60000,323.85,9.3,1457.088,1187346.635,835238.944,GW,,,6.6661,2482.0,1637.0,177.03213,1019.0990876885912,13307.9
679.109,760,60000,323.85,9.3,1456.89,1187359.003,835240.696,GW,,,6.7910900000000005,2482.0,1637.0,177.29787000000002,1006.5130157701784,13573.64
691.514,770,60000,323.85,9.3,1456.707,1187371.276,835242.458,GW,,,6.91514,2482.0,1638.0,177.58336,972.872740584054,13859.13
703.917,780,60000,323.85,9.3,1456.527,1187383.531,835244.325,GW,,,7.03917,2482.0,1638.0,177.59556,973.204872077176,13871.33
716.335,790,60000,323.85,9.3,1456.39,1187395.816,835246.101,GW,,,7.16335,2482.0,1638.0,177.81495,944.8952305665208,14090.72
728.816,800,60000,323.85,9.3,1456.35,1187408.176,835247.795,GW,,,7.28816,2482.0,1638.0,177.82111,945.1952587311098,14096.88
741.212,810,60000,323.85,9.3,1456.271,1187420.388,835249.838,GW,,,7.41212,2482.0,1638.0,178.19186000000002,932.2517320779388,14467.63
753.685,820,60000,323.85,9.3,1456.176,1187432.586,835252.415,GW,,,7.536849999999999,2482.0,1639.0,178.3187,915.5883132541207,14594.47
766.145,830,60000,323.85,9.3,1456.066,1187444.469,835255.95,GW,,,7.661449999999999,2482.0,1639.0,178.32567,914.9997764028452,14601.44
778.59,840,60000,323.85,9.3,1455.904,1187455.802,835261.076,GW,,,7.785900000000001,2482.0,1639.0,178.43782000000002,925.1055250549744,14713.59
791.027,850,60000,323.85,9.3,1455.631,1187467.167,835266.105,GW,,,7.910270000000001,2482.0,1639.0,178.52503000000002,924.7483427331036,14800.8
803.391,860,60000,323.85,9.3,1455.781,1187477.409,835272.954,GW,,,8.033909999999999,2482.0,1639.0,178.52503000000002,924.7483427331036,14800.8
815.87,870,60000,323.85,9.3,1455.865,1187487.383,835280.443,GW,,,8.1587,2482.0,1640.0,178.52999,906.8754118608732,14805.76
827.836,880,60000,323.85,9.3,1455.855,1187496.887,835287.708,GW,,,8.27836,2482.0,1640.0,178.54219,907.9063094073622,14817.96
840.282,890,60000,323.85,9.3,1455.928,1187506.793,835295.235,GW,,,8.40282,2482.0,1640.0,178.67592000000002,928.0343962532216,14951.69
852.753,900,60000,323.85,9.3,1455.936,1187516.504,835303.049,GW,,,8.52753,2482.0,1640.0,178.68778,928.0046925209716,14963.55
865.12,910,60000,323.85,9.3,1455.888,1187526.129,835310.806,GW,,,8.6512,2482.0,1640.0,178.86809,927.2170357239664,15143.86
877.562,920,60000,323.85,9.3,1455.741,1187535.805,835318.622,GW,,,8.77562,2482.0,1640.0,178.86809,927.2170357239664,15143.86
890.003,930,60000,323.85,9.3,1455.57,1187545.411,835326.516,GW,,,8.900030000000001,2482.0,1641.0,179.01021,926.6349608290656,15285.98
902.46,940,60000,323.85,9.3,1455.39,1187555.074,835334.369,GW,,,9.0246,2482.0,1641.0,179.01021,926.6349608290656,15285.98
914.9,950,60000,323.85,9.3,1455.309,1187564.777,835342.143,GW,,,9.149,2482.0,1641.0,179.21255,972.6081370243932,15488.32
927.155,960,60000,323.85,9.3,1455.251,1187574.367,835349.766,GW,,,9.27155,2482.0,1641.0,179.22014,972.6918213073732,15495.91
939.607,970,60000,323.85,9.3,1455.12,1187584.077,835357.553,GW,,,9.39607,2482.0,1641.0,179.24257,972.593839265574,15518.34
951.943,980,60000,323.85,9.3,1454.985,1187593.657,835365.317,GW,,,9.51943,2482.0,1642.0,179.24257,972.593839265574,15518.34
964.366,990,60000,323.85,9.3,1455.206,1187603.306,835373.131,GW,,,9.64366,2482.0,1642.0,179.3441,940.7943505281636,15619.87
976.776,1000,60000,323.85,9.3,1455.305,1187612.95,835380.933,GW,,,9.767759999999999,2482.0,1642.0,179.3563,940.8401712852856,15632.07
989.226,1010,60000,323.85,9.3,1455.398,1187622.605,835388.785,GW,,,9.89226,2482.0,1642.0,180.83694,1296.280122088148,17112.71
